"Gericht_Id","Gericht_Bezeichnung","Gericht_Kurzbezeichnung","Gericht_Hoechstgericht","Gericht_Staat","Gericht_Teilrechtsordnung"
174,"Sentencia de la Audiencia Provincial Guipúzcoa (Judgment of the
Provincial Court of Guipúzcoa)",AP Guipúzcoa ,0,24,22
175,Ankenævnet for Forsikring (Insurance Board of Appeals),AF,0,4,4
176,Tribunal de Grande Instance (Court of First Instance) Bordeaux,CFI Bordeaux,0,8,7
177,Tribunal de police (Cantonal Criminal Court) Neufchâteau,TP Neufchâteau,0,2,2
178,Tribunal de police (Cantonal Criminal Court) Huy,TP Huy,0,2,2
179,Giudice di Pace di Massa (Justice of the Peace of Massa),JP Massa,0,14,12
180,Obvodní soud pro Prahu 1 (District Court of Prague 1),OP,0,3,3
181,Tribunal de Grande Instance Paris (Court of First Instance),CFI Paris,0,8,7
182,Politierechtbank (Cantonal Criminal Court) Brussels,Politierechtbank Brussels,0,2,2
183,Tribunal de police (Cantonal Criminal Court) Brussels,TP Brussels,0,2,2
184,Tribunale di Bologna (District Court of Bologna),Tribunale di Bologna,0,14,12
185, Audiencia Provincial Cantabria ,AP Cantabria,0,24,22
186,Curte de Apel (Appeal Court of) Galati,CA Galati,0,21,19
187,"Monomeles Protodikeio Athinon (Athens Single Member Court of
First Instance)",MPA,0,10,9
188,Audiencia Provincial Murcia,AP Murcia,0,24,22
189,Cour d’Appel (Court of Appeal) Rennes,CA Rennes,0,8,7
190,Tribunal de première instance (Tribunal of First Instance) Namur,TFI Namur,0,2,2
191,Arbeidshof (Labour Court) Antwerp,Arbeidshof Antwerp,0,2,2
192,Krajsky´ soud v Brneˇ (Regional Court of Brno),KS Brno,0,3,3
193,Patientforsikringen (Patient Insurance Board),Patientforsikringen ,0,4,4
194,Verwaltungsgericht (Administrative Court) Munich,Verwaltungsgericht  Munich,0,9,8
195,"Monomeles Protodikeio Nafpliou (Nafplio Single Member Court of
First Instance)",MP Nafpliou,0,10,9
196,Protodikeio Ioanninon (Ioannina Court of First Instance),Protodikeio Ioanninon,0,10,9
197,Rechtbank (Court) of Rotterdam,Rechtbank Rotterdam,0,17,15
