"ENST_Id","ENST_Entscheidung","ENST_Stichwort"
934,1326,79
935,1326,82
936,1327,152
937,1327,111
938,1327,119
939,1328,206
940,1328,207
941,1328,82
943,1329,160
944,1329,82
945,1329,83
946,1329,84
947,1329,215
948,1329,206
949,1330,175
950,1330,135
951,1331,105
952,1331,152
953,1332,208
954,1332,148
955,1332,150
956,4,140
957,6,151
958,6,155
960,6,113
961,6,133
963,6,45
964,8,45
965,9,133
966,10,140
967,10,127
968,11,79
969,15,77
970,15,83
972,15,124
973,15,158
974,15,192
975,16,226
976,16,70
977,16,111
978,16,214
979,16,117
980,16,160
981,17,222
982,18,52
983,18,53
984,18,81
985,18,115
986,18,151
987,17,231
988,19,83
989,19,119
990,19,120
991,19,124
992,19,223
993,15,87
994,19,87
995,10,149
996,12,45
997,12,47
998,12,87
999,12,127
1000,12,128
1001,12,131
1002,12,140
1003,12,149
1004,13,220
1005,13,69
1006,13,221
1007,14,45
1008,14,81
1009,14,87
1010,14,111
1012,20,81
1013,21,45
1014,21,81
1015,21,87
1016,21,99
1017,21,103
1018,21,220
1019,21,111
1020,21,115
1021,21,214
1022,22,70
1023,22,117
1024,22,119
1025,22,124
1026,23,52
1027,23,53
1028,23,79
1029,23,97
1030,24,70
1031,24,111
1032,24,117
1033,24,124
1034,25,83
1035,26,95
1036,26,79
1037,27,221
1038,27,83
1039,28,83
1040,29,232
1042,29,233
1043,30,234
1044,30,37
1045,30,82
1046,30,158
1047,31,234
1048,31,221
1049,31,83
1050,32,83
1051,32,119
1052,32,120
1053,33,158
1054,34,233
1055,34,83
1056,34,220
1057,34,150
1058,34,152
1059,34,139
1060,4,214
1061,36,214
1062,36,140
1063,37,217
1064,37,77
1065,37,79
1066,37,87
1067,37,158
1068,37,192
1069,38,234
1070,40,235
1071,40,103
1072,8,81
1073,8,87
1075,35,81
1076,35,87
1077,35,111
1078,35,214
1079,35,151
1080,41,104
1081,41,235
1082,41,140
1083,41,69
1084,42,97
1085,42,155
1086,43,218
1087,43,32
1088,43,82
1089,43,112
1090,43,142
1091,43,156
1092,43,209
1093,44,77
1094,44,97
1095,62,233
1096,63,83
1097,63,141
1099,63,160
1100,64,141
1101,64,175
1102,65,141
1103,65,160
1104,66,237
1105,66,175
1106,68,83
1107,68,213
1108,68,220
1109,68,152
1110,4,213
1111,4,220
1112,34,213
1113,36,213
1114,36,220
1115,38,213
1116,62,213
1117,62,220
1118,69,213
1119,69,220
1120,69,111
1121,69,140
1122,69,182
1123,70,83
1124,70,95
1125,70,96
1126,70,97
1127,70,37
1128,70,158
1129,71,233
1130,71,80
1131,71,83
1132,71,214
1133,71,213
1134,71,220
1135,71,152
1136,62,214
1137,38,214
1138,72,32
1139,72,37
1140,72,39
1141,72,82
1142,72,112
1143,72,133
1144,72,148
1145,72,209
1146,73,238
1147,73,83
1148,73,111
